id;liquidation_time;name;type;neighborhood;address;coljuegos_code;start_time;close_time;longitude;latitude;mercantile_registration;operator_id;municipality_id
1;2021-09-27T11:26:00;system Hormigon Muelle;RUTA;Monte;Plástico;Regional;2021-09-26T19:54:18;2021-09-27T01:41:26;43562;13951;Decoración;1;1
2;2021-09-27T05:13:04;Guantes;RUTA;program Asociado Account;Música Camboya Ergonómico;collaborative Ladrillo Hryvnia;2021-09-27T10:32:06;2021-09-27T03:10:16;11706;62805;Representante impactful Masía;2;2
3;2021-09-26T23:18:17;Mercado codificar Guantes;CASINO;monitor;Cine Guapa Sierra;methodologies protocolo;2021-09-27T10:10:31;2021-09-27T05:33:09;93028;58677;Granito;3;3
4;2021-09-26T20:48:28;Ergonómico;RUTA;web-enabled back-end Bélg;Sudanese firewall Sorpren;transmitter;2021-09-27T12:57:30;2021-09-27T14:42:24;30927;46188;solid connect Funcionario;4;4
5;2021-09-26T19:57:11;invoice;RUTA;Account 24/7;Yemeni;program Blanco Relacciones;2021-09-27T14:17:44;2021-09-26T20:26:15;44723;69811;Credit hacking interactive;5;5
6;2021-09-27T13:19:49;bandwidth Inversor;CASINO;Nacional empresa Quinta;estructura Calidad Inform;Ucrania firewall;2021-09-27T13:15:27;2021-09-27T04:39:18;23456;80239;blockchains PNG Morado;6;6
7;2021-09-27T12:38:29;IB;CASINO;Portugal;synthesize Urbanización;Lempira Kwanza ADP;2021-09-27T03:25:22;2021-09-26T20:59:23;43052;18180;bypassing;7;7
8;2021-09-27T16:44:34;Account bandwidth;CASINO;infrastructures incubate ;Plaza Cambridgeshire;Galicia;2021-09-26T20:26:24;2021-09-26T21:52:52;40207;71982;Genérico Extremadura Oficial;8;8
9;2021-09-27T05:05:43;up;RUTA;empresa web-readiness;bluetooth Asimilado Forin;wireless Ladrillo;2021-09-27T00:54:47;2021-09-27T16:39:31;36192;26993;mobile primary;9;9
10;2021-09-26T20:48:26;Toallas;RUTA;indexing de;vortals engage;Multi Auto;2021-09-26T23:21:08;2021-09-27T13:25:40;18315;93760;Avon;10;10
