id;permit_description;start_date;end_date;nit;contract_number;company_name;brand;municipality_id
1;platforms payment;2021-09-27T16:46:02;2021-09-27T00:50:32;compress;multi-byte HDD Hormigon;Atún Silla Sopa;payment;1
2;Marroquinería flexibilidad;2021-09-27T16:25:59;2021-09-26T22:53:13;transform Azul;Verde Account;best-of-breed Productor;Violeta Tonga;2
3;Colegio fritas platforms;2021-09-27T11:27:06;2021-09-27T13:35:25;Credit;redundant;Borders Checking;bus Gris functionalities;3
4;one-to-one;2021-09-27T14:53:11;2021-09-27T08:05:31;Papelería Música Vatu;target intangible Castilla;East;Papelería Intranet;4
5;Canarias intranet Prolongación;2021-09-27T15:24:31;2021-09-27T12:53:03;Gourde;24/7 Ladrillo Dinamarca;solid Metal utilize;input hacking;5
6;calculating Orígenes;2021-09-27T05:22:49;2021-09-27T00:47:08;Granito División mindshare;hacking synthesize applications;Amarillo;Ladrillo;6
7;payment;2021-09-27T07:06:48;2021-09-27T12:28:24;Dollar Loan Granito;Cantabria Refinado;Supervisor Plástico;Rua Carretera;7
8;intuitive;2021-09-27T07:08:33;2021-09-26T21:44:33;Azul Bermuda;Namibia Bulgarian Analista;Barranco;estatica;8
9;circuit;2021-09-27T08:21:13;2021-09-27T05:38:14;groupware transmitter firewall;Auto;Morado Cuesta;regional Account Swiss;9
10;Macedonia Marroquinería;2021-09-27T11:11:16;2021-09-27T17:49:05;XML;Librería;Joyería Oficial Jefe;Gráfica Optimización;10
